Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки
Идеальная работа. Программирование без прикрас,Мартин Роберт С.,Питер:Библиотека программиста,1 361₽,1 745₽
Основы тестирования и верификации программного обеспечения. Учебное пособие,Старолетов Сергей Михайлович,Лань:Учебники для вузов. Специальная литература,2 452₽,5 449₽
Web-программирование на Python. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1 923₽,4 274₽
Python. Чистый код для продолжающих,Свейгарт Эл,Питер:Библиотека программиста,2 263₽,2 901₽
Как проектировать программы,Фелляйзен,,2 781₽,6 179₽
Введение в программирование и структуры данных,Фислер,,2 085₽,4 634₽
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие. СПО,Заяц,Лань:Компьютеры и программное обеспечение,1 272₽,2 827₽
Программирование в САПР. Учебное пособие,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,2 589₽,5 753₽
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,Васильев,Лань:Учебники для вузов. Специальная литература,2 224₽,4 943₽
Параллельное программирование на современном С++,Гримм Райнер,,2 781₽,6 179₽
Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI,Стейпл Дэнни,,1 807₽,4 016₽
Практический хакинг интернета вещей,Чанцис,,2 503₽,5 563₽
Spring в действии,Уоллс Крейг,,2 781₽,6 179₽
Практическое введение в решение дифференциальных уравнений в Python,Ершов Николай Михайлович,,1 391₽,3 091₽
"Теоретический минимум по Computer Science. Сети, криптография и data science",Феррейра,Питер:Библиотека программиста,2 199₽,2 819₽
Программирование в Roblox. Сделать игру - проще простого,Брамбо Зандер,,1 391₽,3 091₽
Масштабируемый рефакторинг. Возвращаем контроль над кодом,Лемер Мод,Питер:Бестселлеры O`Reilly,1 631₽,2 091₽
Многопоточный JavaScript,Хантер,,1 807₽,4 016₽
JavaScript. Визуальные редакторы. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1 629₽,3 621₽
JavaScript. Визуальные редакторы. Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1 439₽,3 198₽
Языки программирования и методы трансляции. Учебное пособие для вузов,Свердлов Сергей Залманович,Лань:Компьютеры и программное обеспечение,2 336₽,5 192₽
Алгоритмы Data Science и их практическая реализация на Python,Протодьяконов,,1 343₽,2 985₽
Графический анализ на языке R. Учебно-методическое пособие,Лукьянов Павел Борисович,,545₽,1 210₽
Head First. Изучаем C#,Стиллмен,Питер:Head First (O'Reilly),2 908₽,3 728₽
Основы алгоритмизации и программирования на Visual C++. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,2 408₽,5 350₽
Алгоритмы и программы. Язык С++. Учебное пособие для СП,Конова,Лань:Учебники для вузов. Специальная литература,1 261₽,2 803₽
Вероятностное программирование. Учебное пособие,Колбин Вячеслав Викторович,Лань:Математика,2 792₽,6 204₽
Программирование на языке Си. Учебное пособие для вузов,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,2 279₽,5 065₽
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения,Матросов,,2 643₽,5 873₽
Профессиональный бенчмарк. Искусство измерения производительности,Акиньшин Андрей,Питер:Библиотека программиста,2 836₽,3 636₽
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования,Троелсен,,4 838₽,10 752₽
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер:Библиотека программиста,2 255₽,2 891₽
Основы построения экономических моделей в Excel. Учебник для СПО,Воскобойников,Лань:Компьютеры и программное обеспечение,1 320₽,2 933₽
Программирование на языке Си. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,2 158₽,4 796₽
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1 560₽,3 467₽
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1 560₽,3 467₽
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов,Хабаров,Лань:Компьютеры и программное обеспечение,1 670₽,3 710₽
Разработка игр и теория развлечений,Костер Рэф,,1 598₽,3 552₽
Структуры данных в Python. Начальный курс,Шихи Дональд Р.,,1 251₽,2 781₽
Большая книга проектов Python,Свейгарт Эл,,1 688₽,2 164₽
Глубокое обучение с подкреплением. Теория и практика на языке Python,Грессер,Питер:Библиотека программиста,2 540₽,3 256₽
Искусство WebAssembly. Создание безопасных межплатформенных высокопроизводительных приложений,Баттальини Рик,,1 391₽,3 091₽
Микросервисы Spring в действии,Карнелл,,2 503₽,5 563₽
Осваиваем архитектуру Transformer. Разработка современных моделей с помощью передовых методов,Йылдырым,,2 085₽,4 634₽
Основы юзабилити-тестирования,Барнум Кэрол М.,,2 503₽,5 563₽
Творческие проекты с микроконтроллером в среде TinyGo и WebAssembly,Тил Тобиас,,1 529₽,3 397₽
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов,Цирулик Владимир Григорьевич,Лань:Компьютеры и программное обеспечение,2 290₽,5 088₽
Практический анализ двоичных файлов,Эндриесс Дэннис,,2 364₽,5 253₽
Изучаем C# через разработку игр на Unity,Ферроне Харрисон,Питер:Библиотека программиста,1 830₽,2 346₽
Исследование операций. Том 1. Линейное программирование. Учебник для вузов,Трушков Александр Сергеевич,Лань:Компьютеры и программное обеспечение,1 679₽,3 732₽
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1 590₽,2 178₽
Apache Airflow и конвейеры обработки данных,Харенслак,,2 643₽,5 873₽
Python для всех,Северанс Чарльз Р.,,972₽,2 161₽
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,Мурсаев,Лань:Учебники для вузов. Специальная литература,772₽,1 715₽
Использование языка Python в теории вероятностей. Учебник,Криволапов Сергей Яковлевич,,1 331₽,2 957₽
